Date,Price,ProductName,Country,Continent,Currency,Store,Category,Product URL,Price over time
2023-03-28,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-28', 'Price': 54.99}"
2023-03-29,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-29', 'Price': 54.99}"
2023-03-30,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-30', 'Price': 54.99}"
2023-03-31,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-31', 'Price': 54.99}"
2023-04-01,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-04-01', 'Price': 54.99}"
2023-03-01,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-01', 'Price': 104.99}"
2023-03-02,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-02', 'Price': 104.99}"
2023-03-03,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-03', 'Price': 104.99}"
2023-03-04,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-04', 'Price': 104.99}"
2023-03-05,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-05', 'Price': 104.99}"
2023-03-06,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-06', 'Price': 104.99}"
2023-03-07,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-07', 'Price': 104.99}"
2023-03-08,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-08', 'Price': 104.99}"
2023-03-09,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-09', 'Price': 104.99}"
2023-03-10,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-10', 'Price': 104.99}"
2023-03-11,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-11', 'Price': 104.99}"
2023-03-12,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-12', 'Price': 104.99}"
2023-03-13,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-13', 'Price': 104.99}"
2023-03-14,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-14', 'Price': 104.99}"
2023-03-15,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-15', 'Price': 104.99}"
2023-03-16,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-16', 'Price': 104.99}"
2023-03-17,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-17', 'Price': 104.99}"
2023-03-18,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-18', 'Price': 104.99}"
2023-03-19,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-19', 'Price': 104.99}"
2023-03-20,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-20', 'Price': 104.99}"
2023-03-21,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-21', 'Price': 104.99}"
2023-03-22,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-22', 'Price': 104.99}"
2023-03-23,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-23', 'Price': 104.99}"
2023-03-24,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-24', 'Price': 104.99}"
2023-03-25,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-25', 'Price': 104.99}"
2023-03-26,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-26', 'Price': 104.99}"
2023-03-27,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-27', 'Price': 104.99}"
2023-03-28,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-28', 'Price': 104.99}"
2023-03-29,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-29', 'Price': 104.99}"
2023-03-30,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-30', 'Price': 104.99}"
2023-03-31,104.99,SPAR IQF CHICKEN DRUMSTICKS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763625,"{'Date': '2023-03-31', 'Price': 104.99}"
